"name","summary","imgLink"
"Gliese 105","Gliese 105 (also known as 268 G. Ceti) is a multiple star system in the constellation of Cetus. It is located relatively near the Sun at a distance of 23 light-years (7 parsecs). Despite this, even the brightest component is barely visible with the unaided eye (see Bortle scale). No planets have yet been detected around any of the stars in this system.
This is a triple system with three stars that are all less massive than the Sun. The brightest component is designated HD 16160, and is known as Gliese 105 A. It is a K-type main-sequence star, about 70% the mass of the Sun.A nearby star has a similar proper motion to Gliese 105 A, so it is assumed to be physically associated with the primary, and is known as Gliese 105 B. The two have an estimated separation of 1,200 astronomical units (au). It is a BY Draconis variable star whose brightness varies between 11.64 and 11.68 magnitudes; for that reason it has been given the designation BX Ceti.A third companion, known as Gliese 105 C, lies much closer to A, currently at a distance of approximately 24 au. The pair A-C have an estimated orbital period of 61 years. While detected directly, Gliese 105 C has also been observed to perturb Gliese 105 A from its usual position; from that, its orbit is estimated to have a high eccentricity of around 0.75 and a semimajor axis of 15 au. Gliese 105 C is an extremely faint red dwarf. It is roughly 8 to 9 percent the mass of the Sun, and it is about 20,000 times fainter than its parent star in visible light—at a distance of 1 au (the distance from the Earth to the Sun) it would only be four times brighter than the full moon.","https://upload.wikimedia.org/wikipedia/commons/d/d8/Gliese_105.gif"
"Theta Eridani","Theta Eridani (θ Eridani, abbreviated Theta Eri, θ Eri) is a binary system in the constellation of Eridanus. Its two components are designated θ¹ Eridani, also named Acamar, and θ² Eridani. The system's distance from the Sun as measured by the Hipparcos astrometry satellite is approximately 120 light-years.","https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Eridanus_constellation_map.png/820px-Eridanus_constellation_map.png"
"Alpha Ceti","Alpha Ceti (α Ceti, abbreviated Alpha Cet, α Cet), also named Menkar, is the second-brightest star in the constellation of Cetus.  It is a cool luminous red giant about 250 light years away.","https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Cetus_constellation_map.svg/1000px-Cetus_constellation_map.svg.png"
"Algol","Algol (), designated Beta Persei (β Persei, abbreviated Beta Per, β Per), known colloquially as the Demon Star, is a bright multiple star in the constellation of Perseus and one of the first non-nova variable stars to be discovered.
Algol is a three-star system, consisting of Beta Persei Aa1, Aa2, and Ab - in which the hot luminous primary β Persei Aa1 and the larger, but cooler and fainter, β Persei Aa2 regularly pass in front of each-other causing eclipses. Thus Algol's magnitude is usually near-constant at 2.1, but regularly dips to 3.4 every 2.86 days during the roughly 10-hour-long partial eclipses. The secondary eclipse when the brighter primary star occults the fainter secondary is very shallow and can only be detected photoelectrically.Algol gives its name to its class of eclipsing variable, known as Algol variables.","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Perseus_constellation_map.svg/1000px-Perseus_constellation_map.svg.png"
"82 G. Eridani","82 G. Eridani (HD 20794, HR 1008, e Eridani) is a star about 20 light years away from Earth in the constellation Eridanus. It is a main-sequence star with a stellar classification of G6.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Eridanus_constellation_map.svg/820px-Eridanus_constellation_map.svg.png"
"Alpha Persei","Alpha Persei (α Persei, abbreviated Alpha Per, α Per), also named Mirfak, is the brightest star in the northern constellation of Perseus, just outshining the constellation's best known star, Algol. α Persei has an apparent visual magnitude of 1.8, and is a circumpolar star when viewed from mid-northern latitudes.
Mirfak lies in the midst of a cluster of stars named as the eponymous Alpha Persei Cluster, or Melotte 20, which is easily visible in binoculars and includes many of the fainter stars in the constellation.  Determined distance using the trigonometric parallax, places the star 510 light-years (160 parsecs) from the Sun.

","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Perseus_constellation_map.svg/1000px-Perseus_constellation_map.svg.png"
"Alcyone (star)","Alcyone, designated η Tauri (Eta Tauri, abbreviated Eta Tau, η Tau), is a multiple star system in the constellation of Taurus. Approximately 440 light years from the Sun, it is the brightest star in the Pleiades open cluster, which is a young cluster, around 100 million years old. There are a number of fainter stars very close to Alcyone, all most probably members of the same cluster.","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Pleiades_large.jpg/1000px-Pleiades_large.jpg"
"Gamma Eridani","Gamma Eridani (γ Eridani, abbreviated Gamma Eri, γ Eri), also named Zaurak, is a variable star in the constellation of Eridanus. It is visible to the naked eye with an apparent visual magnitude that varies around 2.9, and lies at a distance of about 203 light years from the Sun, as determined by the Hipparcos astrometry satellite. This is an evolved red giant star that is currently on the asymptotic giant branch of the Hertzsprung–Russell diagram.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Eridanus_constellation_map.svg/820px-Eridanus_constellation_map.svg.png"
"Aldebaran","Aldebaran, also designated α Tauri (Latinized to Alpha Tauri, abbreviated Alpha Tau, α Tau), is a red giant star located about 65 light-years from the Sun in the zodiac constellation Taurus. It is the brightest star in its constellation and usually the fourteenth-brightest star in the night sky, though it varies slowly in brightness between magnitude 0.75 and 0.95. Aldebaran hosts a planet several times the size of Jupiter￼, named Aldebaran b.
The planetary exploration probe Pioneer 10 is currently heading in the general direction of the star and should make its closest approach in about two million years.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Taurus_constellation_map.svg/1000px-Taurus_constellation_map.svg.png"
"Iota Aurigae","Iota Aurigae (ι Aurigae, abbreviated Iota Aur, ι Aur), also named Hassaleh, is a star in the northern constellation of Auriga. It has an apparent visual magnitude of 2.7, which is bright enough to be readily visible to the naked eye. Parallax measurements give a distance estimate of roughly 490 light-years (150 parsecs) from the Sun.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Auriga_constellation_map.svg/1000px-Auriga_constellation_map.svg.png"
"Beta Eridani","Beta Eridani (β Eridani, abbreviated Beta Eri, β Eri), also named Cursa, is the second-brightest star in the constellation of Eridanus, located in the northeast end of this constellation near the shared border with Orion. The apparent visual magnitude of this star is 2.796, so it can be viewed with the naked eye in dark skies. Parallax measurements yield an estimated distance of about 89 light-years (27 parsecs) from the Earth.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Eridanus_constellation_map.svg/820px-Eridanus_constellation_map.svg.png"
"Kapteyn's Star","Kapteyn's Star is a class M1 red subdwarf about 12.76 light years from Earth in the southern constellation Pictor; it is the closest halo star to the Solar System. With a magnitude of nearly 9 it is visible through binoculars or a telescope.Its diameter is 30% of the Sun's, but its luminosity just 1.2% that of the Sun's. It may have once been part of the globular cluster Omega Centauri, itself a likely dwarf galaxy swallowed up by the Milky Way in the distant past. The discovery of two planets — Kapteyn b and Kapteyn c — was announced in 2014.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Pictor_constellation_map.svg/970px-Pictor_constellation_map.svg.png"
"Rigel","Rigel (), also designated β Orionis (Latinized to Beta Orionis, abbreviated Beta Ori, β Ori), is on average the seventh-brightest star in the night sky and the brightest in the constellation of Orion—though occasionally it is outshone within the constellation by the variable star Betelgeuse. With an average apparent magnitude of 0.13, it is a luminous object some 863 light-years distant from Earth.
Rigel as seen from Earth is actually a multiple star system of three to five stars, the primary star, Rigel A, being a blue-white supergiant which is estimated to be anywhere from 120,000 to 279,000 times as luminous as the Sun, depending on the method used to calculate its properties. It has exhausted its core of hydrogen and swollen to between 79 and 115 times the Sun's radius. It pulsates quasi-periodically and is classified as an Alpha Cygni variable. A companion, Rigel B, is 500 times fainter than the supergiant Rigel A and visible only with a telescope. Rigel B is itself a spectroscopic binary system, consisting of two main sequence blue-white stars of spectral type B9V that are estimated to be respectively 3.9 and 2.9 times as massive as the Sun; Rigel Bb may itself be a binary. Rigel B also appears to have a very close visual companion Rigel C of almost identical appearance.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Orion_constellation_map.svg/970px-Orion_constellation_map.svg.png"
"Capella","Capella, also designated α Aurigae (Latinized to Alpha Aurigae, abbreviated Alpha Aur, α Aur), is the brightest point of light in the constellation of Auriga, the sixth-brightest in the night sky, and the third-brightest in the northern celestial hemisphere after Arcturus and Vega. A prominent object in the northern winter sky, it is circumpolar to observers north of 44°N. Its name meaning ""little goat"" in Latin, Capella depicted the goat Amalthea that suckled Zeus in classical mythology. The Capella system is relatively close, at only 42.9 light-years (13.2 pc) from the Sun.
Although it appears to be a single star to the naked eye, Capella is actually a quadruple star system in two binary pairs made up of the stars Capella Aa, Capella Ab, Capella H, and Capella L.   
The first pair, Capella Aa and Capella Ab, are two bright yellow giant stars, both of which are around 2.5 times as massive as the Sun. The second pair, Capella H and Capella L, are around 10,000 astronomical units (AU) from the first and are two faint, small and relatively cool red dwarfs.  
Capella Aa and Capella Ab have exhausted their core hydrogen, and cooled and expanded, moving off the main sequence. They are in a very tight circular orbit about 0.74 AU apart, and orbit each other every 104 days. Capella Aa is the cooler and more luminous of the two with spectral class K0III; it is 78.7 ± 4.2 times the Sun's luminosity and 11.98 ± 0.57 times its radius. An ageing red clump star, Capella Aa is fusing helium to carbon and oxygen in its core. Ab is slightly smaller and hotter and of spectral class G1III; it is 72.7 ± 3.6 times as luminous as the Sun and 8.83 ± 0.33 times its radius. It is in the Hertzsprung gap, corresponding to a brief subgiant evolutionary phase as it expands and cools to become a red giant.  
The Capella system is one of the brightest sources of X-rays in the sky, thought to come primarily from the corona of Capella Aa.   
Several other stars in the same visual field have been catalogued as companions but are physically unrelated.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Auriga_constellation_map.svg/1000px-Auriga_constellation_map.svg.png"
"Bellatrix","Bellatrix, also designated Gamma Orionis (γ Orionis, abbreviated Gamma Ori, γ Ori), is the third-brightest star in the constellation of Orion, 5° west of the red giant Alpha Orionis (Betelgeuse). Just between the first and second magnitude and slightly variable, it is about the 25th-brightest star in the night sky.","https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Orion_IAU.svg/806px-Orion_IAU.svg.png"
"Beta Tauri","Beta Tauri (β Tauri, abbreviated Beta Tau, β Tau), also named Elnath or Alnath, is the second-brightest star in the constellation of Taurus with an apparent magnitude of 1.65.  It is a chemically peculiar B7 giant star, 134 light years away from Earth.  It was previously also known as Gamma Aurigae.","https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Taurus_constellation_map.svg/1000px-Taurus_constellation_map.svg.png"
"Beta Leporis","Beta Leporis (β Leporis, abbreviated Beta Lep, β Lep), also named Nihal, is the second brightest star in the constellation of Lepus.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Lepus_IAU.svg/1000px-Lepus_IAU.svg.png"
"Mintaka","Mintaka, also designated Delta Orionis (δ Orionis, abbreviated Delta Ori, δ Ori) and 34 Orionis (34 Ori) is a multiple star system some 1,200 light-years from the Sun in the constellation of Orion. Together with Alnitak (Zeta Orionis) and Alnilam (Epsilon Orionis), the three stars form Orion's Belt, known by many names among ancient cultures. When Orion is near the meridian, Mintaka is the right-most of the Belt's stars when viewed from the Northern Hemisphere facing south.","https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Orion_Belt_2009-01-29.jpg/1000px-Orion_Belt_2009-01-29.jpg"
"Alpha Leporis","Alpha Leporis (α Leporis, abbreviated Alpha Lep, α Lep), also named Arneb, is the brightest star in the constellation of Lepus.
Alpha Leporis is the star's Bayer designation. The traditional name Arneb comes from the Arabic أرنب  ’arnab 'hare' ('Lepus' is Latin for hare). In 2016, the International Astronomical Union organized a Working Group on Star Names (WGSN) to catalog and standardize proper names for stars. The WGSN's first bulletin of July 2016 included a table of the first two batches of names approved by the WGSN; which included Arneb for this star.
In Chinese, 廁 (Cè), meaning Toilet, refers to an asterism consisting of α Leporis, β Leporis, γ Leporis and δ Leporis. Consequently, α Leporis itself is known as 廁一 (Cè yī), ""the First Star of Toilet"".This is a massive star with about 14 times the mass of the Sun. The interferometer-measured angular diameter of this star, after correction for limb darkening, is 1.77 ± 0.09 mas. At an estimated distance of 2,218 light-years (680 parsecs), this yields a physical size of about 129 times the radius of the Sun. Alpha Leporis has a stellar classification of F0 Ib, with the Ib luminosity class indicating that it is a lower luminosity supergiant star. Since 1943, the spectrum of this star has served as one of the stable anchor points by which other stars are classified. The effective temperature of the outer envelope is about 6,850 K, which gives the star a yellow-white hue that is typical of F-type stars. It is an estimated 13 million years old.Alpha Leporis is an older, dying star that may have already passed through a supergiant phase and is now contracting and heating up in the latter phases of stellar evolution, or perhaps is still expanding into the supergiant phase. Based upon its estimated mass, it is expected to end its life in a spectacular stellar explosion known as a supernova. However, this is not expected to happen for another million years.","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Lepus_constellation_map.svg/1000px-Lepus_constellation_map.svg.png"
"Iota Orionis","Iota Orionis (ι Orionis, abbreviated Iota Ori, ι Ori) is a multiple star system in the equatorial constellation of Orion the hunter. It is the eighth-brightest member of Orion with an apparent visual magnitude of 2.77 and also the brightest member of the asterism known as Orion's Sword. It is a member of the NGC 1980 open cluster. From parallax measurements, it is located at a distance of roughly 2,300 light-years (710 parsecs) from the Sun.The system has three components designated Iota Orionis A, B and C. Iota Orionis A is itself a massive spectroscopic binary, with components Iota Orionis Aa (also named Hatysa) and Ab.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Orion_constellation_map.svg/970px-Orion_constellation_map.svg.png"
"Alnilam","Alnilam, designated Epsilon Orionis (ε Orionis, abbreviated Epsilon Ori, ε Ori) and 46 Orionis (46 Ori), is a large blue supergiant star some 2,000 light-years distant in the constellation of Orion. It is estimated to be 275,000 to 832,000 times as luminous as the Sun, and 30-64.5 times as massive.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Orion_constellation_map.svg/970px-Orion_constellation_map.svg.png"
"Alpha Columbae","Alpha Columbae (α Columbae, abbreviated Alpha Col, α Col), also named Phact, is a third magnitude star in the southern constellation of Columba. It has an apparent visual magnitude of 2.6, making it the brightest member of Columba. Based upon parallax measurements made during the Hipparcos mission, Alpha Columbae is located at a distance of around 261 light-years (80 parsecs).","https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Columba_IAU.svg/1000px-Columba_IAU.svg.png"
"Alnitak","Alnitak, designated Zeta Orionis (ζ Orionis, abbreviated Zeta Ori, ζ Ori) and 50 Orionis (50 Ori), is a multiple star several hundred parsecs from the Sun in the constellation of Orion. It is one of the three main stars of Orion's Belt along with Alnilam and Mintaka.
The primary star is a hot blue supergiant with an absolute magnitude of -6.0 and is the brightest class O star in the night sky with a visual magnitude of +2.0.  It has two bluish 4th magnitude companions, one finely resolved and one only detected interferometrically and spectroscopically, producing a combined magnitude for the trio of +1.77. The stars are members of the Orion OB1 association and the Collinder 70 association.","https://upload.wikimedia.org/wikipedia/commons/b/b2/Ngc2024_2mass.jpg"
"Saiph","Saiph, also designated Kappa Orionis (κ Orionis, abbreviated Kappa Ori, κ Ori) and 53 Orionis (53 Ori), is the sixth-brightest star in the constellation of Orion. Of the four bright stars that compose Orion's main quadrangle, it is the star at the south-eastern corner. A northern-hemisphere observer facing south would see it at the lower left of Orion, and a southern-hemisphere observer facing north would see it at the upper right. Parallax measurements yield an estimated distance of 650 light-years (198 parsecs) from the Sun, which is about the same as Betelgeuse.  It is smaller, less luminous but hotter at its surface than Rigel with an apparent visual magnitude of 2.1. The luminosity of this star changes slightly, varying by 0.04 magnitudes.","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Orion_constellation_map.svg/970px-Orion_constellation_map.svg.png"
